Mês	Direito à alimentação: (Brasil)	direito humano à alimentação: (Brasil)	Direito humano à alimentação adequada: (Brasil)	Segurança alimentar: (Brasil)
2014-01	0	0	0	22
2014-02	0	0	1	30
2014-03	1	0	0	30
2014-04	0	0	0	35
2014-05	1	2	0	38
2014-06	0	0	0	27
2014-07	0	0	0	28
2014-08	2	1	0	40
2014-09	0	0	0	47
2014-10	1	0	0	38
2014-11	0	0	0	43
2014-12	2	0	0	25
2015-01	0	0	0	21
2015-02	0	0	0	29
2015-03	0	0	0	37
2015-04	1	0	0	40
2015-05	0	0	0	50
2015-06	0	0	0	50
2015-07	0	0	0	33
2015-08	0	0	0	36
2015-09	0	0	0	36
2015-10	1	0	0	38
2015-11	1	0	0	37
2015-12	0	0	0	22
2016-01	0	0	0	17
2016-02	1	0	0	23
2016-03	1	0	0	30
2016-04	2	0	0	34
2016-05	2	1	0	32
2016-06	2	0	0	35
2016-07	0	0	0	22
2016-08	0	0	0	30
2016-09	2	0	0	38
2016-10	1	0	0	38
2016-11	1	0	0	5
2016-12	0	0	0	2
2017-01	0	0	0	2
2017-02	0	0	0	2
2017-03	2	1	0	3
2017-04	2	0	0	3
2017-05	0	0	0	10
2017-06	1	0	0	40
2017-07	0	0	0	26
2017-08	1	1	0	42
2017-09	1	0	0	44
2017-10	3	1	0	45
2017-11	2	0	0	47
2017-12	0	0	0	23
2018-01	0	0	0	21
2018-02	0	0	1	29
2018-03	0	0	0	35
2018-04	2	0	0	41
2018-05	2	2	0	43
2018-06	2	0	0	41
2018-07	0	0	0	27
2018-08	0	0	0	37
2018-09	2	0	0	39
2018-10	2	0	0	39
2018-11	2	0	0	42
2018-12	0	0	0	25
2019-01	0	0	0	26
2019-02	1	2	0	28
2019-03	2	0	0	33
2019-04	1	0	0	40
2019-05	2	0	0	40
2019-06	2	0	0	54
2019-07	0	0	0	24
2019-08	1	0	0	37
2019-09	3	0	0	38
2019-10	2	1	0	41
2019-11	2	0	0	51
2019-12	0	0	0	24
2020-01	0	0	0	18
2020-02	1	0	0	26
2020-03	2	0	0	33
2020-04	3	1	0	36
2020-05	4	1	0	44
2020-06	5	2	0	44
2020-07	2	1	0	36
2020-08	2	0	0	35
2020-09	5	1	0	47
2020-10	5	1	0	47
2020-11	5	1	0	47
2020-12	4	1	0	32
2021-01	0	0	0	21
2021-02	2	0	0	24
2021-03	3	0	0	36
2021-04	5	1	0	52
2021-05	7	2	0	51
2021-06	6	2	0	60
2021-07	3	1	0	37
2021-08	4	0	0	42
2021-09	5	2	0	72
2021-10	5	1	0	60
2021-11	7	2	0	76
2021-12	4	0	0	37
2022-01	1	0	0	24
2022-02	4	1	0	46
2022-03	7	2	0	71
2022-04	6	2	0	63
2022-05	7	2	0	75
2022-06	6	2	0	77
2022-07	3	1	0	49
2022-08	3	1	1	63
2022-09	5	1	0	79
2022-10	5	1	0	81
2022-11	6	2	0	100
2022-12	2	0	2	41
2023-01	1	1	2	31
