word,freq
alimentação,637
alimentar,589
direito,489
nutricional,317
segurança,295
saúde,261
the,254
adequada,239
alimentos,237
sobre,235
humano,233
políticas,184
objetivo,174
insegurança,160
social,159
direitos,153
and,145
análise,131
públicas,128
ações,127
brasil,124
trabalho,123
fome,120
sociais,118
acesso,117
programa,117
meio,111
partir,107
produção,107
educação,106
escolar,104
nacional,104
desenvolvimento,98
sistema,97
garantia,95
pandemia,94
política,94
estado,91
san,85
forma,85
dhaa,84
agricultura,84
contexto,83
assim,83
ser,82
população,82
saudável,81
food,79
presente,78
promoção,76
nutrição,75
dados,75
pública,73
além,73
processo,72
situação,72
humanos,71
qualidade,70
sendo,69
pnae,68
consumo,68
covid,67
familiar,67
práticas,66
alimentares,66
vida,66
relação,64
analisar,63
brasileira,61
fundamental,60
–,60
famílias,59
período,58
crianças,57
construção,56
deste,56
bem,55
ainda,55
sustentável,55
federal,54
método,54
renda,52
sociedade,52
tema,52
projeto,51
base,50
maior,50
através,50
formação,50
revisão,49
perspectiva,49
importância,48
necessidade,48
campo,46
uso,46
condições,46
soberania,46
resumo,45
fim,45
ambiente,45
quanto,44
brasileiro,44
durante,44
município,44
aspectos,43
realização,42
programas,41
busca,41
profissionais,41
tratase,41
atividades,41
municípios,40
conceito,40
metodologia,40
país,39
compreensão,39
anos,39
tanto,38
abordagem,38
outros,38
todos,38
qualitativa,38
garantir,38
dessa,38
estratégias,37
gestão,37
cenário,37
ambiental,37
fortalecimento,36
bibliográfica,36
família,36
desafios,36
agrotóxicos,36
cada,36
literatura,36
atenção,35
âmbito,35
proteção,35
importante,35
alimento,35
escola,35
papel,34
documental,34
público,34
debate,33
pobreza,33
diferentes,33
pode,33
compreender,33
atuação,33
temática,33
acerca,33
realizado,32
efetivação,32
humana,32
neste,32
prevalência,32
rede,32
grupos,31
agenda,31
participação,31
grande,31
considerando,31
processos,31
los,31
apresenta,30
dimensões,30
pessoas,30
entrevistas,30
realizadas,30
questão,29
modo,29
relações,29
escala,29
rural,29
quais,29
conhecimento,29
combate,28
constituição,28
recursos,28
objetivos,28
tendo,28
saudáveis,28
nesse,28
participantes,28
promover,28
estudos,28
hábitos,28
desse,28
concluise,27
deve,27
grupo,27
crise,27
econômica,27
global,27
caso,27
implementação,27
was,27
distribuição,26
vulnerabilidade,26
legislação,26
contribuir,26
área,26
enquanto,26
lei,26
realizada,26
sistemas,26
experiência,26
públicos,26
fundamentais,26
principais,26
modelo,26
vez,26
avaliação,26
nutrition,26
experiências,26
parte,26
cultura,25
organização,25
necessidades,25
terra,25
disso,25
número,25
prática,25
outras,25
justiça,25
diante,25
temas,25
ean,25
conclusão,24
defesa,24
dentre,24
animais,24
impactos,24
local,24
internacional,24
artigos,24
produtos,24
questões,24
desta,24
região,24
comunidade,24
escolares,24
pesquisas,24
frente,23
identificar,23
aumento,23
introdução,23
reflexão,23
nível,23
municipal,23
analisados,23
sob,23
atual,23
formas,23
comunidades,23
governo,23
após,23
universidade,23
assistência,23
importantes,22
estudantes,22
sustentabilidade,22
refletir,22
dignidade,22
indivíduos,22
apesar,22
algumas,22
segundo,22
this,22
ensino,22
that,22
pensar,21
nutricionistas,21
fatores,21
serviços,21
apenas,21
conteúdo,21
elaboração,21
tal,21
povos,21
condição,21
mulheres,21
princípios,21
alimentación,21
del,21
right,21
dentro,21
básica,20
documentos,20
medidas,20
civil,20
alguns,20
pessoa,20
possível,20
respeito,20
conselho,20
paulo,20
agricultores,20
avanços,20
problema,20
usuários,20
sujeitos,20
tempo,20
ação,20
podem,20
relacionados,20
nº,20
mundo,20
agroecologia,20
diálogo,20
abastecimento,20
econômico,19
mudanças,19
discussão,19
maneira,19
cuidado,19
informações,19
dois,19
princípio,19
realidade,19
poder,19
criação,19
especialmente,19
sido,19
rua,19
profissional,19
comida,19
adolescentes,19
bolsa,19
desses,19
las,19
principal,19
popular,19
onde,19
oferta,19
junto,19
assegurar,18
disponibilidade,18
brasileiros,18
consequências,18
desigualdades,18
problemas,18
técnica,18
três,18
natureza,18
discutir,18
movimentos,18
proposta,18
atores,18
equipe,18
ter,18
utilizada,18
comercialização,18
security,18
relacionadas,18
familiares,18
indígenas,18
alunos,18
saberes,18
água,18
extensão,18
aquisição,17
internacionais,17
legal,17
mercado,17
história,17
culturais,17
econômicos,17
discussões,17
devido,17
violação,17
vista,17
único,17
dias,17
nesta,17
sentido,17
associação,17
baixa,17
desafio,17
território,17
sustentáveis,17
recomendações,17
utilização,17
sus,17
muitas,17
impacto,17
articulação,17
efeitos,17
economia,17
essencial,17
acordo,17
trabalhos,17
especial,16
têm,16
medida,16
caráter,16
permanente,16
necessário,16
setor,16
agentes,16
crítica,16
principalmente,16
ausência,16
populações,16
avaliar,16
questionário,16
propostas,16
países,16
enfrentamento,16
domicílios,16
estratégia,16
utilizouse,16
conceitos,16
controle,16
desde,16
coletiva,16
mundial,16
histórico,16
envolvendo,16
escolas,16
serviço,16
sisan,16
autonomia,16
novas,16
publicados,15
manutenção,15
potencial,15
reflexões,15
portanto,15
atuais,15
nutricionais,15
visa,15
político,15
quantidade,15
quatro,15
gerais,15
apresentar,15
ambientais,15
todo,15
qualitativo,15
cidade,15
produtores,15
human,15
trabalhadores,15
constitucional,15
falta,15
ultraprocessados,15
variáveis,15
incluindo,15
estadual,15
desenvolvidas,15
execução,15
monitoramento,15
rio,15
duas,15
longo,15
obtidos,15
atividade,15
tais,15
implantação,15
referência,15
refeições,15
instituição,15
oficina,15
infância,15
foco,14
oficiais,14
transversal,14
redução,14
resultado,14
informação,14
capitalista,14
percepção,14
dinâmica,14
locais,14
vem,14
utilizados,14
voltadas,14
dimensão,14
responsabilidade,14
visando,14
health,14
sobretudo,14
institucional,14
diversos,14
atendimento,14
possuem,14
pnan,14
características,14
aplicação,14
curso,14
educativas,14
metodologias,14
espaços,14
grandes,14
tradicional,14
estados,13
beneficiários,13
contribuição,13
desigualdade,13
universal,13
complexidade,13
texto,13
doenças,13
econômicas,13
nações,13
perfil,13
unidas,13
plano,13
desenvolvido,13
relato,13
legislações,13
luta,13
temáticas,13
américa,13
concepção,13
observação,13
presença,13
contudo,13
percepções,13
tradicionais,13
conclusões,13
todas,13
risco,13
amostra,13
feminina,13
vezes,13
sanitária,13
gênero,13
institucionais,13
school,13
necessária,13
fazer,13
instrumento,13
animal,13
consiste,13
pbf,13
adesão,13
novos,13
instrumentos,13
temperatura,13
paa,12
traz,12
consumidor,12
demais,12
ensaio,12
entrevista,12
relevância,12
outro,12
reconhecimento,12
enteral,12
porém,12
capitalismo,12
vulneráveis,12
composição,12
analisa,12
agrária,12
teórica,12
paraná,12
determinantes,12
cidadania,12
intersetorial,12
categorias,12
cultural,12
novo,12
situações,12
brazilian,12
compromisso,12
conforme,12
from,12
with,12
narrativa,12
apresentaram,12
planejamento,12
analysis,12
entanto,12
fontes,12
una,12
possui,12
descritivo,12
inclusão,12
criança,12
intuito,12
cinco,12
valores,12
materiais,12
comunicação,12
agronegócio,12
nessa,12
amostras,12
oficinas,12
contextos,11
realizar,11
exemplo,11
envolvidos,11
primeira,11
seguida,11
ponto,11
objetiva,11
parceria,11
possibilidade,11
reforma,11
contribuições,11
pois,11
semiestruturadas,11
“,11
campos,11
regular,11
agroecológica,11
ods,11
ano,11
diversidade,11
adequate,11
básicos,11
grave,11
melhoria,11
palavraschave,11
projetos,11
rurais,11
efetiva,11
mecanismos,11
modos,11
brazil,11
diretrizes,11
nutritional,11
nutrientes,11
alimentícios,11
gêneros,11
trata,11
enfoque,11
infantil,11
possibilidades,11
frutas,11
efetividade,11
descrever,11
nutricionista,11
planos,11
bases,11
indicadores,11
mudança,11
adotada,10
ampla,10
constitui,10
envolve,10
exploratório,10
geral,10
estrutura,10
levantamento,10
serem,10
desnutrição,10
dar,10
